,type,start_idx,finish_idx,start_time,finish_time,length_time,length_distance,avg_speed,avg_hr
0,Nothing,0,121,0.0,4.84,4.84,3.7116,0.0,115.52396694214876
1,MapRead,121,151,4.84,6.04,1.2000000000000002,1.8828000000000005,0.16596666666666668,110.61999999999998
2,Nothing,151,314,6.04,12.56,6.5200000000000005,18.396,1.9463411042944785,115.86723926380368
3,MapRead,314,330,12.56,13.2,0.6399999999999988,2.2095999999999982,2.760125,119.115
4,Nothing,330,522,13.2,20.88,7.68,30.4992,3.0024499999999996,118.23583333333333
5,MapRead,522,542,20.88,21.68,0.8000000000000007,2.9688000000000017,3.1349999999999993,124.152
6,Nothing,542,693,21.68,27.72,6.039999999999999,20.750000000000007,3.1434768211920536,133.25324503311256
7,MapRead,693,708,27.72,28.32,0.6000000000000014,2.161599999999993,3.116,136.22400000000002
8,Nothing,708,769,28.32,30.76,2.4400000000000013,9.241599999999991,3.1114262295081967,137.63213114754097
9,CheckCD,769,782,30.76,31.28,0.5199999999999996,1.8712000000000018,3.1046092307692317,139.8707692307692
10,MapRead,782,827,31.28,33.08,1.7999999999999972,7.288000000000011,3.0756648888888884,140.3111111111111
11,Nothing,827,1044,33.08,41.76,8.68,38.55279999999999,3.2400654377880183,142.01235023041474
12,MapRead,1044,1053,41.76,42.12,0.35999999999999943,1.3607999999999834,3.429146666666667,143.84000000000003
13,Nothing,1053,1133,42.12,45.32,3.200000000000003,11.933200000000028,3.472119,145.51100000000002
14,MapRead,1133,1240,45.32,49.6,4.280000000000001,15.706799999999987,3.590926355140187,146.31289719626167
15,Nothing,1240,1249,49.6,49.96,0.35999999999999943,1.400400000000019,3.5943999999999994,149.28
16,MapRead,1249,1285,49.96,51.4,1.4399999999999977,6.121599999999972,3.592511111111111,150.65777777777774
17,CheckCD,1285,1306,51.4,52.24,0.8400000000000034,3.640800000000013,3.600771428571428,151.77142857142857
18,Nothing,1306,1343,52.24,53.72,1.4799999999999969,6.501599999999996,3.6360313513513516,152.0
19,MapRead,1343,1351,53.72,54.04,0.3200000000000003,1.4107999999999947,3.66308,152.0
20,Nothing,1351,1445,54.04,57.8,3.759999999999998,14.494800000000026,3.725382978723402,152.3340425531915
21,MapRead,1445,1567,57.8,62.68,4.880000000000003,15.224400000000003,3.7179075409836067,154.91475409836065
22,Nothing,1567,1599,62.68,63.96,1.2800000000000011,3.507199999999983,3.6251100000000003,155.345
23,MapRead,1599,1623,63.96,64.92,0.9600000000000009,2.496399999999994,3.5912133333333336,156.42
24,Nothing,1623,1687,64.92,67.48,2.5600000000000023,6.9632000000000005,3.54591375,157.02375
25,MapRead,1687,1721,67.48,68.84,1.3599999999999994,3.234800000000007,3.5100341176470584,159.38705882352943
